County,Judge
ATL,BERNARD E DELURY JR.
ATL,DONNA M TAYLOR
ATL,DOROTHY INCARVITO-GARRABRANT
ATL,DRUGCOURT WALDMAN JEFFREY
ATL,JEFFREY J WALDMAN
ATL,JUDGE OUT OF COUNTY TRANSF
ATL,NANCY L RIDGWAY
ATL,PAMELA D'ARCY
ATL,PATRICIA M WILD
ATL,W. TODD MILLER
BER,CAROL NOVEY CATUOGNO
BER,CHRISTOPH R KAZLAU
BER,FRANCES MCGROGAN JSC
BER,GARY N WILCOX
BER,JAMES X SATTELY
BER,JUDGE OUT OF COUNTY TRANSF
BER,KEITH A BACHMANN
BER,MARGARET FOTI
BER,MITCHELL STEINHART
BER,SUSAN STEELE
BUR,CHRISTOPH J GARRENGER
BUR,GERARD H BRELAND
BUR,JAMES J MORLEY
BUR,JOHN J BURKE
BUR,JUDGE OUT OF COUNTY TRANSF
BUR,MARK P TARANTINO
BUR,PHILIP HAINES
BUR,RICHARD J NOCELLA
BUR,TERRENCE R COOK
CAM,DAVID M RAGONESE
CAM,DONALD J STEIN
CAM,EDWARD J MCBRIDE JR
CAM,FRANCISCO DOMINGUEZ
CAM,FREDERICK J SCHUCK
CAM,GWENDOLYN BLUE
CAM,JUDGE OUT OF COUNTY TRANSF
CAM,KATHLEEN M DELANEY
CAM,KURT E KRAMER
CAM,MICHAEL JOYCE
CAM,THOMAS J SHUSTEDJR
CAM,THOMAS T BOOTH
CAM,YOLANDA RODRIGUEZ
CPM,BERNARD DELURY
CPM,CHRISTINE SMITH
CPM,DOROTHY INCARVITO-GARRABRANT
CPM,J.C. GIBSON
CPM,JEFFREYDC WALDMAN
CPM,JUDGE OUT OF COUNTY TRANSF
CPM,NANCY L RIDGWAY
CPM,PATRICIA M WILD JSC
CPM,W. TODD MILLER
CUM,BENJAMIN C TELSEY
CUM,CRISTEN P D'ARRIGO
CUM,DRUGCOURT SMITH KEVIN
CUM,GEORGE GANGLOFF
CUM,JUDGE OUT OF COUNTY TRANSF
CUM,KEVIN T SMITH
CUM,LINDA LAWHUN
CUM,ROBERT G MALESTEIN
CUM,WILLIAM ZIEGLER
ESX,ALVIN LITTLE
ESX,CAROLYN E WRIGHT
ESX,CHRIS S ROMANYSHYN
ESX,"HAROLD W FULLILOVE, JR."
ESX,JOHN I GIZZO
ESX,JUDGE OUT OF COUNTY TRANSF
ESX,MARK ALI
ESX,MARTIN CRONIN
ESX,MARYSOL ROSERO
ESX,MICHAEL L RAVIN
ESX,MICHAEL PETROLLE
ESX,PATRICK J ARRE
ESX,PETER RYAN
ESX,ROBERT GARDNER
ESX,RONALD WIGLER
ESX,SIOBHAN A TEARE
ESX,THOMAS VENA
ESX,VERNA G LEATH
ESX,VERNA LEATH
GLO,BENJAMIN C TELSEY
GLO,CHRISTINE ALLEN-JACKSON
GLO,DRUGCOURT SANDRA LOPEZ
GLO,DRUGCOURT SILVANIO MICHAEL
GLO,"JOHN C EASTLACK, JR."
GLO,JUDGE OUT OF COUNTY TRANSF
GLO,KEVIN T SMITH
GLO,MARYBETH KRAMER
GLO,MICHAEL J SILVANIO
GLO,SAMUEL J RAGONESE
HNT,ANGELA F BORKOWSKI
HNT,H.MATTHEW CURRY
HNT,JUDGE OUT OF COUNTY TRANSF
HUD,ANGELO SERVIDIO
HUD,CARLO ABAD
HUD,JEFFREY R JABLONSKI
HUD,JOHN A YOUNG JR
HUD,JUDGE OUT OF COUNTY TRANSF
HUD,MARTHA LYNES
HUD,MITZY GALIS-MENENDEZ
HUD,NESLE A RODRIGUEZ
HUD,PATRICK J ARRE
HUD,PAUL M DEPASCALE
HUD,VINCENT J MILITELLO
MER,ANTHONY MASSI
MER,DARLENE PEREKSTA
MER,DRUGCOURT HUGHES JOSEPH
MER,JANETTA D MARBREY
MER,JOSEPH A HUGHES
MER,JUDGE OUT OF COUNTY TRANSF
MER,PETER E WARSHAW
MER,ROBERT W BINGHAM II
MER,THOMAS M BROWN
MER,TIMOTHY P LYDON
MID,BENJAMIN S BUCCA
MID,COLLEEN M FLYNN
MID,CRAIG CORSON
MID,JOSEPH PAONE
MID,JUDGE OUT OF COUNTY TRANSF
MID,"PEDRO J JIMENEZ, JR."
MID,"ROBERT J JONES, JR."
MID,THOMAS J BUCK
MON,DAVID F BAUMAN
MON,DRUGCOURT ESCANDON PAUL
MON,ELLEN TORREGROSSA-O'CONNOR
MON,HENRY BUTEHORN
MON,JILL G O'MALLEY
MON,JOSEPH W OXLEY
MON,JUDGE OUT OF COUNTY TRANSF
MON,LOURDES LUCAS
MON,MARC C LEMIEUX
MON,PAUL X ESCANDON
MON,RICHARD W ENGLISH
MRS,JUDGE OUT OF COUNTY TRANSF
MRS,MICHAEL HUBNER
MRS,NOAH FRANZBLAU
MRS,RALPH E AMIRATA
MRS,ROBERT M HANNA
MRS,STEPHEN J TAYLOR
MRS,STUART A MINKOWITZ
OCN,DRUGCOURT F NEMETH STEVEN
OCN,GUY P RYAN
OCN,JAMES M BLANEY
OCN,JUDGE OUT OF COUNTY TRANSF
OCN,LINDA BAXTER
OCN,LISA A PUGLISI
OCN,MICHAEL COLLINS
OCN,ROCHELLE GIZINSKI
OCN,STEVEN F NEMETH
OCN,WENDEL E DANIELS
PAS,ADAM E JACOBS
PAS,DONNA D GALLUCIO
PAS,"IMRE KARASZEGI, JR."
PAS,JOSEPH A PORTELLI
PAS,JUDGE OUT OF COUNTY TRANSF
PAS,JUSTINE A NICCOLLAI
PAS,MARILYN C CLARK
PAS,MARYBEL RAMIREZ
PAS,MIGUEL A DE LA CARRERA
PAS,SCOTT T RUMANA
PAS,SOHAIL MOHAMMED
SLM,CHRISTINE ALLEN-JACKSON
SLM,DRUGCOURT SANDRA LOPEZ
SLM,DRUGCOURT SILVANIO MICHAEL
SLM,"JOHN C EASTLACK, JR."
SLM,JUDGE OUT OF COUNTY TRANSF
SLM,LINDA LAWHUN
SLM,MICHAEL J SILVANIO
SLM,ROBERT G MALESTEIN
SOM,ANGELA F BORKOWSKI
SOM,ANTHONY F PICHECA JR
SOM,BRADFORD BURY
SOM,H MATTHEW CURRY
SOM,JUDGE OUT OF COUNTY TRANSF
SOM,JULIE M MARINO
SOM,KATHY C QASIM
SOM,KEVIN M SHANAHAN
SOM,KIMARIE RAHILL
SOM,MICHAEL J ROGERS
SOM,PETER J TOBER
SOM,ROBERT A BALLARD
SOM,ROBERT B REED
SSX,EDWARD A JEREJIAN
SSX,JUDGE OUT OF COUNTY TRANSF
SSX,LOUIS S SCEUSI
SSX,MICHAEL C GAUS
SSX,MICHAEL E HUBNER
SSX,PETER CONFORTI
SSX,ROBERT M HANNA
UNN,CANDIDO RODRIGUEZ JR J.S.C.
UNN,DANIEL R LINDEMANN J.S.C.
UNN,DARA GOVAN
UNN,JOHN M DEITCH J.S.C.
UNN,"JOSEPH P DONOHUE, J.S.C."
UNN,JUDGE OUT OF COUNTY TRANSF
UNN,LARA DIFABRIZIO J.S.C.
UNN,LISA M WALSH A.J.S.C.
UNN,OTHER VICINAGE JUDGE
UNN,REGINA CAULFIELD P.J.CR.
UNN,RICHARD C WISCHUSEN
UNN,ROBERT A KIRSCH J.S.C.
UNN,THOMAS K ISENHOUR
UNN,WILLIAM A DANIEL J.S.C.
WRN,ANGELA F BORKOWSKI
WRN,JUDGE OUT OF COUNTY TRANSF
WRN,KATHY C QASIM
WRN,MATTHEW CURRY
